Tweet originale;Tweet dopo la pipeline Stanza;Classe target;Classe predetta;Presenza d'ironia
Ok <MENTION_1>  ho capito torno a fare esami per il debito, torno a lavorare che è meglio! #labuonascuola;ok capitare tornare fare esame debito tornare lavorare meglio ! htag_llabuonanaso;0;1;1
Una buona scuola per un mondo buono. Firmato Mulino Bianco;buono mondo buono firmato Mulino Bianco;0;1;1
La buona scuola e le sillabe - <URL>;buono sillaba;0;1;1
#labuonascuola l'unica buona scuola è quella di Hogwarts;il unico buono Hogwarts;0;1;1
"<MENTION_1> Da notare il titolo delle slide: ""la buona scuola in 12 punti"". #itaglianocorreggiuto";notare titolo slide buono 12 punto htag_ita anocorregeiuu to;0;1;1
<MENTION_1> ahahaah non ci avevo fatto caso!!! #labuonascuola per <MENTION_2> <MENTION_3> serve #Sgarbi capra capra capra!! :));ahahaah fare_NEG caso_NEG ! ! ! servire htag_sgar bi capra capra capra ! !;0;1;1
AHAHAHA la buona scuola finanziata dai tagli su universita' e ricerca ahahahah <URL>;AHAHAHA buono finanziare taglio universita ricerca ahahahah;0;1;1
A giugno ne #labuonascuola la situazione era qst: <URL> Ora peggio. Grazie #Renzi!  Grazie #Marino! <URL>;giugno situazione questo ora peggio grazie htag_renzi ! grazie htag_marino !;0;1;1
A scuola non ha ancora diritto di cittadinanza la gioia #LuigiBerlinguer #ri-creazione #labuonascuola;ancora diritto_NEG cittadinanza gioia htag_luigiberlinguer htag_ri -creazione;0;1;1
<MENTION_1> <MENTION_2> Semmai l'anno DELLA buona scuola. De la, in italiano, non esiste;Semmai il anno buono De italiano esistere_NEG;0;1;1
La buona scuola, confezionata come un pasticcino <URL> via <MENTION_1>;buono confezionare pasticcino via;0;1;1
"<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> <MENTION_5> la ""buona scuola"" perché prevedete di mangiarci sopra!! #sfplm85bis";buono prevedere mangiare sopra ! ! htag_sfplm85bis;0;1;1
"Renzi in silicon valley "" leggete le pagine della buona scuola""  Vuoi che muoro!";Renzi silicon valley leggere pagina buono volere muorare !;0;1;1
""""""""" buona scuola """"""""";buono;0;1;1
"Ecco la ""buona scuola"" italiana del futuro....? Speriamo di no! <URL>";ecco buono italiano futuro ? sperare no!;0;1;1
<MENTION_1> Il libro di Pinocchio,zeppo di bugie,a partire dal titolo.Nessuna buona scuola senza docenti abilitati di 2^fascia#MIDAperRUOLO;libro Pinocchio zeppo bugia partire titolo nessuno buono docente_NEG abilitare 2^fasciahtag_midaperruolo;0;1;1
<MENTION_1>  Anche questi nuovi lubrificanti inodori non sono male! #labuonascuola;nuovo lubrificante inodore male_NEG ! htag_llabuonanaso;0;1;1
<MENTION_1> sei nà sola! Torna a scuola che ti fa bene. #labuonascuola;una solo ! tornare fare bene htag_llabuonanaso;0;1;1
"<MENTION_1> <MENTION_2> ..""la buona scuola""?Nel senso buona d'animo?";buono ? senso buono di animo ?;0;1;1
Una volta mi adoravano tutti ...;volta adorare;0;1;1
<MENTION_1> dove sta questa buona scuola? Dove;buono ?;0;1;1
<MENTION_1> bene,  #disoccupati 50enni contenti della riforma costituzionale, ora sappiamo cosa dare a mangiare ai nostri figli;bene htag_disoccupati 50enni contento riforma costituzionale ora sapere cosa dare mangiare figlio;0;1;1
"Visto che bravi i nostri parlamentari che in questi giorni stanno \""invadendo\"" le tv nazionali? Anche questo... <URL>";vedere bravo parlamentare giorno invadere tv nazionale ?;0;1;1
<MENTION_1> quello che voglio e non devo mettere conto a te, anche perché chi ti stava cacando lol;volere dovere mettere_NEG conto_NEG te cacare lol;0;1;1
La buona scuola di Matteo? Una camurria! <URL>;buono matteo ? camurria !;0;1;1
<MENTION_1> le risorse della scuola pubblica alle private... Questa è la buona scuola!;risorsa pubblico privato buono !;0;1;1
Pure io volevo fare gli auguri alle vostre mamme.Tutte perfette e amorevoli le vostre!;pure volere fare augurio mamma tutto perfetto amorevole !;0;1;1
la buona scuola di renzi ha avuto la sua apoteosi in liguria con la beffa dei contributi per i progetti;buono renzo apoteoso liguria beffa contributo progetto;0;1;1
<MENTION_1> ma adesso arriva la buona scuola...e siamo tutti felici :-) <MENTION_2>;ma adesso arrivare buono ..e felice;0;1;1
Mi arrendo #labuonascuola è la miglior scuola possibile Renzi il miglior presidente di consiglio possibile <MENTION_1> <MENTION_2> <MENTION_3>;arrendere migliore possibile Renzi migliore presidente consiglio possibile;0;1;1
Le grida manzoniane della buona scuola <URL> <URL>;gridare manzoniano buono;0;1;1
"""L'italia riparte dalla buona scuola"" Prrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr....!!!""";il italia ripartire buono prrrrrrrrrrrrrrrrrrrr..rrrrrrr.r.rrrrrrrrrrrrrrrrr ! ! !;0;1;1
la buona scuola dell'imbecille Giannini e del  #bullodiprovincia <URL>;buono il imbecilla Giannini htag_bullodiprovincia;0;1;1
La buona scuola 2: delle italiche emergenze. <URL> via <MENTION_1>;buono 2 italico emergenza via;0;1;1
<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> <MENTION_5> e neppure semplificabile in dépliant come la buona scuola;semplificabile_NEG dépliant buono;0;1;1
